ensemble:~/p/ruby/vpim/trunk % ruby -I lib profile.rb 
  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
 21.81    68.34     68.34    79313     0.86     1.33  Vpim::DirectoryInfo::Field#name?

Ruby1.8 has #casecmp! Make Vpim.casecmp() that uses it, if available?

 19.56   129.63     61.29    16916     3.62    42.75  Array#each
  7.98   154.64     25.01    66300     0.38     1.78  Proc#call
  6.76   175.83     21.19   167734     0.13     0.13  String#downcase
  4.24   189.10     13.27     6506     2.04     3.06  Vpim::DirectoryInfo::Field#decode0
  2.75   197.71      8.61    79313     0.11     0.11  String#to_s
  2.74   206.28      8.57    66300     0.13     0.13  Proc#==
  2.66   214.61      8.33    83216     0.10     0.10  String#==
  2.35   221.97      7.36    14300     0.51     1.56  Vpim::DirectoryInfo#enum_by_name
  2.15   228.71      6.74    14300     0.47    13.28  Vpim::DirectoryInfo#each
  2.01   235.01      6.30     1300     4.85   189.24  Vpim::Icalendar::Vevent#initialize
  1.83   240.74      5.73    23413     0.24    23.04  Class#new
  1.82   246.44      5.70    14300     0.40    13.68  Vpim::Enumerator#each
  1.44   250.94      4.50    14300     0.31     0.31  Vpim::Enumerator#initialize
  1.44   255.44      4.50    14300     0.31     0.48  Proc#new
  1.37   259.74      4.30     7800     0.55    17.27  Vpim::DirectoryInfo#text
  1.23   263.59      3.85     5202     0.74     2.56  Vpim::DirectoryInfo::Field#value
  1.22   267.40      3.81        1  3810.00  4840.00  IO#each
  1.19   271.12      3.72     6506     0.57     3.69  Vpim::DirectoryInfo::Field#initialize
  1.06   274.43      3.31     6506     0.51     4.53  Vpim::DirectoryInfo::Field#decode
  1.05   277.72      3.29     5202     0.63     1.17  Vpim::DirectoryInfo::Field#param
  0.99   280.83      3.11     5200     0.60    14.05  Vpim::DirectoryInfo#field
  0.93   283.73      2.90     5202     0.56     1.73  Vpim::DirectoryInfo::Field#encoding
  0.89   286.52      2.79     7800     0.36    15.11  Enumerable.map
  0.78   288.97      2.45     2600     0.94     1.65  String#scan
  0.74   291.29      2.32    14300     0.16     0.16  Object#initialize
  0.56   293.03      1.74     6502     0.27     0.37  Hash#[]
  0.54   294.72      1.69        1  1690.00 31160.00  Array#collect
  0.45   296.14      1.42    16913     0.08     0.08  Array#<<
  0.44   297.51      1.37    13024     0.11     0.11  Fixnum#>
  0.35   298.61      1.10     1300     0.85     1.05  Vpim.decode_text
  0.33   299.63      1.02     6502     0.16     0.17  Kernel.===
  0.32   300.63      1.00     1303     0.77     1.17  Vpim::DirectoryInfo::Field#value?
  0.31   301.59      0.96     1301     0.74     3.25  Vpim::DirectoryInfo#initialize
  0.30   302.52      0.93    10405     0.09     0.09  Array#first
